Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
成日,成日,seng4 jat6,sèngh yaht,always,,Cantonese::Adverbs
永遠唔會,永远唔会,wing5 jyun5 m4 wui5,wíngh yúnh mh wúih,never,,Cantonese::Adverbs
好少,好少,hou2 siu2,hóu síu,rarely,,Cantonese::Adverbs
頻密,频密,pan4 mat6,pành maht,frequently,,Cantonese::Adverbs
間中,间中,gaan3 zung1,gaan jūng,occasionally,,Cantonese::Adverbs
不常,不常,bat1 soeng4,bāt sèungh,seldom,,Cantonese::Adverbs
每,每,mui5,múih,every,,Cantonese::Adverbs
在那裏,在那里,zoi6 naa5 leoi5,joih náh léuih,over there,,Cantonese::Adverbs
四周圍,四周围,sei3 zau1 wai4,sei jāu wàih,everywhere,,Cantonese::Adverbs
任何地方,任何地方,jam6 ho4 dei6 fong1,yamh hòh deih fōng,anywhere,,Cantonese::Adverbs
無地方,无地方,mou4 dei6 fong1,mòuh deih fōng,nowhere,,Cantonese::Adverbs
離開,离开,lei4 hoi1,lèih hōi,away,,Cantonese::Adverbs
外面,外面,ngoi6 min6,ngoih minh,out,,Cantonese::Adverbs
好大聲,好大声,hou2 daai6 seng1,hóu daaih sēng,loudly,,Cantonese::Adverbs
真係,真系,zan1 hai6,jān haih,really,,Cantonese::Adverbs
好腍,好腍,hou2 nam6,hóu namh,soundly (asleep),,Cantonese::Adverbs
嗱嗱聲,嗱嗱声,naa4 naa2 seng1,nàh ná sēng,quickly,,Cantonese::Adverbs
好慢,好慢,hou2 maan6,hóu maahn,Very slow,,Cantonese::Adverbs
小心,小心,siu2 sam1,síu sām,Be careful,,Cantonese::Adverbs
自己一個,自己一个,zi6 gei2 jat1 go3,jih géi yāt go,alone,,Cantonese::Adverbs
唔小心,唔小心,m4 siu2 sam1,mh síu sām,accidentally,,Cantonese::Adverbs
橫掂,横掂,waang4 dim6,wàangh dimh,seeing that,,Cantonese::Adverbs
特登,特登,dak6 dang1,dahk dāng,deliberately,,Cantonese::Adverbs
一步一步,一步一步,jat1 bou6 jat1 bou6,yāt bouh yāt bouh,one step at a time,,Cantonese::Adverbs
一大啖,一大啖,jat1 daai6 daam6,yāt daaih daahm,in a big mouthful,,Cantonese::Adverbs
靜靜雞,静静鸡,zing6 zing2 gai1,jingh jíng gāi,quietly,,Cantonese::Adverbs
好易,好易,hou2 ji6,hóu yih,easily,,Cantonese::Adverbs
確確實實地,确确实实地,kok3 kok3 sat6 sat6 dei6,kok kok saht saht deih,literally,,Cantonese::Adverbs
簡直,简直,gaan2 zik6,gáan jihk,simply,,Cantonese::Adverbs
好努力,好努力,hou2 nou5 lik6,hóu nóuh lihk,diligently,,Cantonese::Adverbs
好認真,好认真,hou2 jing6 zan1,hóu yingh jān,seriously,,Cantonese::Adverbs
乖乖咁,乖乖咁,gwaai1 gwaai1 gam2,gwāai gwāai gám,obediently,,Cantonese::Adverbs
好開心,好开心,hou2 hoi1 sam1,hóu hōi sām,Very happy,,Cantonese::Adverbs
好嬲,好恼,hou2 nau1,hóu nāu,Angry,,Cantonese::Adverbs
相當,相当,soeng1 dong1,sēung dōng,quite,,Cantonese::Adverbs
相當多,相当多,soeng1 dong1 do1,sēung dōng dō,quite a lot,,Cantonese::Adverbs
好少,好少,hou2 siu2,hóu síu,hardly,,Cantonese::Adverbs
幾乎不,几乎不,gei2 fu4 bat1,géi fùh bāt,barely,,Cantonese::Adverbs
大部分,大部分,daai6 bou6 fan6,daaih bouh fanh,mostly,,Cantonese::Adverbs
幾乎,几乎,gei1 fu4,gēi fùh,almost,,Cantonese::Adverbs
一定,一定,jat1 ding6,yāt dingh,absolutely,,Cantonese::Adverbs
一啲,一啲,jat1 di1,yāt dī,a bit,,Cantonese::Adverbs
好多,好多,hou2 do1,hóu dō,a lot,,Cantonese::Adverbs
太,太,tai3,tai,too,,Cantonese::Adverbs
唔係太,唔系太,m4 hai6 tai3,mh haih tai,not really,,Cantonese::Adverbs
凈係,净系,zing6 hai6,jingh haih,only,,Cantonese::Adverbs
得一個,得一个,dak1 jat1 go3,dāk yāt go,there is only one left,,Cantonese::Adverbs
特別,特别,dak6 bit6,dahk biht,exceptionally,,Cantonese::Adverbs
零舍,零舍,ling4 se3,lìngh se,particularly,,Cantonese::Adverbs
超,超,ciu1,chīu,super,,Cantonese::Adverbs
不過,不过,bat1 gwo3,bāt gwo,however,,Cantonese::Adverbs
另一方面,另一方面,ling6 jat1 fong1 min6,lingh yāt fōng minh,on the other hand,,Cantonese::Adverbs
終於,终于,zung1 yu1,jūng yū,finally,,Cantonese::Adverbs
最終,最终,zeoi3 zung2,jeui júng,eventually,,Cantonese::Adverbs
但係,但系,daan6 hai6,daanh haih,nevertheless,,Cantonese::Adverbs
於是,于是,jyu1 si6,yū sih,consequently,,Cantonese::Adverbs
確實,确实,kok3 sat6,kok saht,indeed,,Cantonese::Adverbs
反而,反而,faan2 yi4,fáan yìh,instead,,Cantonese::Adverbs
同樣地,同样地,tung4 joeng6 dei6,tùngh yeungh deih,likewise,,Cantonese::Adverbs
而且,而且,ji4 ce2,yìh ché,moreover,,Cantonese::Adverbs
與此同時,与此同时,jyu5 ci2 tung4 si4,yúh chí tùngh sìh,meanwhile,,Cantonese::Adverbs
況且,况且,fong3 ce2,fong ché,besides,,Cantonese::Adverbs
毫無疑問地,毫无疑问地,hou4 mou4 ji4 man6 dei6,hòuh mòuh yìh manh deih,certainly,,Cantonese::Adverbs
再者,再者,zoi3 ze2,joi jé,in addition,,Cantonese::Adverbs
然後,然后,jin4 hau6,yình hauh,and then,,Cantonese::Adverbs
忽然間,忽然间,fat1 jin4 gaan1,fāt yình gāan,suddenly,,Cantonese::Adverbs
啲,啲,di1,dī,"A classifier for plural nouns and uncountable nouns, indicating a small amount or number greater than one, without specifying the exact amount.",,
本,本,bun2,bún,A classifier for book-like objects which cannot be directly translated into English.,,
隻,只,zek3,jek,"A sortal classifier for some animated objects or eating utensils, such as some animals, bowls, plates, etc.",,
枝,枝,zi1,jī,"A sortal classifier for long, straight, hard objects, such as pens, sticks, toothpicks, etc",,
部,部,bou6,bouh,"A sortal classifier for devices or machines, such as phones, computers, cars, etc.",,
張,张,zoeng1,jēung,"A sortal classifier for flat objects or furnitures with flat surfaces, such as papers, tables, chairs, etc.",,
滴,滴,dik6,dihk,drop of,,
羮,羮,gang1,gāng,spoonfuls of,,
碗,碗,wun2,wún,bowls of,,
箱,箱,soeng1,sēung,boxes of,,
你嘅,你嘅,nei5 ge3,néih ge,your / yours,,Cantonese::Pronouns
我嘅,我嘅,ngo5 ge3,ngóh ge,my / mine,,Cantonese::Pronouns
佢嘅,佢嘅,keoi5 ge3,kéuih ge,her / his / its,,Cantonese::Pronouns
你哋嘅,你哋嘅,nei5 dei6 ge3,néih deih ge,you all's,,Cantonese::Pronouns
我哋嘅,我哋嘅,ngo5 dei6 ge3,ngóh deih ge,our / ours,,Cantonese::Pronouns
佢哋嘅,佢哋嘅,keoi5 dei6 ge3,kéuih deih ge,their / theirs,,Cantonese::Pronouns
呢個,呢个,ni1 go3,nī go,this,,Cantonese::Pronouns
嗰個,𠮶个,go2 go3,gó go,that,,Cantonese::Pronouns
呢啲,呢啲,nei1 di1,nēi dī,these,,Cantonese::Pronouns
邊個嘅,边个嘅,bin1 go3 ge3,bīn go ge,whose,,Cantonese::Pronouns
所有嘢,所有嘢,so2 jau5 je5,só yáuh yéh,everything,,Cantonese::Pronouns
所有人,所有人,so2 jau5 jan4,só yáuh yành,everybody,,Cantonese::Pronouns
邊度,边度,bin1 dou6,bīn douh,everywhere,,Cantonese::Pronouns
一啲嘢,一啲嘢,jat1 di1 je5,yāt dī yéh,something,,Cantonese::Pronouns
一啲人,一啲人,jat1 di1 jan4,yāt dī yành,somebody,,Cantonese::Pronouns
某啲地方,某啲地方,mau5 di1 dei6 fong1,máuh dī deih fōng,somewhere,,Cantonese::Pronouns
冇嘢,冇嘢,mou5 je5,móuh yéh,nothing,,Cantonese::Pronouns
冇人,冇人,mou5 jan4,móuh yành,no one,,Cantonese::Pronouns
冇地方,冇地方,mou5 dei6 fong1,móuh deih fōng,nowhere,,Cantonese::Pronouns
乜嘢,乜嘢,mat1 je5,māt yéh,anything,,Cantonese::Pronouns
乜人,乜人,mat1 jan4,māt yành,anyone,,Cantonese::Pronouns
乜嘢地方,乜嘢地方,mat1 je5 dei6 fong1,māt yéh deih fōng,anywhere,,Cantonese::Pronouns
或者,或者,waak6 ze2,waahk jé,or,,Cantonese::Conjunctions
如果,如果,jyu4 gwo2,yùh gwó,if,,Cantonese::Conjunctions
即使,即使,zik1 si2,jīk sí,even if,,Cantonese::Conjunctions
只要,只要,zi2 jiu3,jí yiu,if only,,Cantonese::Conjunctions
因為,因为,jan1 wai6,yān waih,since,,Cantonese::Conjunctions
由於,由于,yau4 yu1,yàuh yū,since,,Cantonese::Conjunctions
因此,因此,jan1 ci2,yān chí,so,,Cantonese::Conjunctions
於是,于是,jyu1 si6,yū sih,so,,Cantonese::Conjunctions
但係,但系,daan6 hai6,daanh haih,but,,Cantonese::Conjunctions
不過,不过,bat1 gwo3,bāt gwo,but,,Cantonese::Conjunctions
雖然,虽然,seoi1 jin4,sēui yình,although,,Cantonese::Conjunctions
"雖然 . . . , 但係","虽然 . . . , 但系","seoi1 jin4 . . . , daan6 hai6","sēui yình . . . , daanh haih","Although . . . , but",,Cantonese::Conjunctions
以,以,ji5,yíh,Therefore,,Cantonese::Conjunctions
為了,为了,wai4 liu5,wàih líuh,to,,Cantonese::Conjunctions
而且,而且,ji4 ce2,yìh ché,also,,Cantonese::Conjunctions
況且,况且,fong3 ce2,fong ché,additionally,,Cantonese::Conjunctions
早晨,早晨,zou2 san4,jóu sành,Good morning,,
你好嗎?,你好吗?,nei5 hou2 maa5 ?,néih hóu ma?,How are you?,,
我好好,我好好,ngo5 hou2 hou2,ngóh hóu hóu,I'm doing well,,
你叫咩名呀?,你叫咩名呀?,nei5 giu3 me1 ming4 aa4 ?,néih giu mē mìngh àh ?,What is your name?,,
我叫...,我叫...,ngo5 giu3 . . .,ngóh giu . . .,My name is...,,
唔好意思,唔好意思,m4 hou2 ji3 si1,mh hóu yi sī,I'm sorry,,
同,同,tung4,tùngh,and,,
係,系,hai6,haih,yes,,
唔係,唔系,m4 hai6,mh haih,no,,
有可能,有可能,jau5 ho2 nang4,yáuh hó nàngh,maybe,,
冇問題,冇问题,mou5 man6 tai4,móuh manh tàih,No problem,,
呢個好靚,呢个好靓,ne1 go3 hou2 leng3,nē go hóu leng,This is pretty,,
我好凍,我好冻,ngo5 hou2 dung3,ngóh hóu dung,I am cold,,
好熱,好热,hou2 jit6,hóu yiht,it is hot,,
呢個好辣,呢个好辣,ne1 go3 hou2 laat6,nē go hóu laaht,This is spicy,,
真嘅?,真嘅?,zan1 ge3 ?,jān ge ?,really?,,
咩事呀?,咩事呀?,me1 si6 aa4 ?,mē sih a?,what's up?,,
我唔知,我唔知,ngo5 m4 zi1,ngóh mh jī,I know,,
一月,一月,jat1 jyut6,yāt yuht,January,,
二月,二月,ji6 jyut6,yih yuht,February,,
三月,三月,saam1 jyut6,sāam yuht,March,,
四月,四月,sei3 jyut6,sei yuht,April,,
五月,五月,ng5 jyut6,ngh yuht,May,,
六月,六月,luk6 jyut6,luhk yuht,June,,
七月,七月,cat1 jyut6,chāt yuht,July,,
八月,八月,baat3 jyut6,baat yuht,August,,
九月,九月,gau2 jyut6,gáu yuht,September,,
十月,十月,sap6 jyut6,sahp yuht,October,,
十一月,十一月,sap6 jat1 jyut6,sahp yāt yuht,November,,
十二月,十二月,sap6 ji6 jyut6,sahp yih yuht,December,,
一日,一日,jat1 jat6,yāt yaht,1st,,
二日,二日,ji6 jat6,yih yaht,2nd,,
三日,三日,saam1 jat6,sāam yaht,3rd,,Cantonese::Date&Time
四日,四日,sei3 jat6,sei yaht,4th,,Cantonese::Date&Time
五日,五日,ng5 jat6,ngh yaht,5th,,Cantonese::Date&Time
六日,六日,luk6 jat6,luhk yaht,6th day of the month,,Cantonese::Date&Time
七日,七日,cat1 jat6,chāt yaht,7th,,Cantonese::Date&Time
八日,八日,baat3 jat6,baat yaht,8th,,Cantonese::Date&Time
九日,九日,gau2 jat6,gáu yaht,9th,,Cantonese::Date&Time
十日,十日,sap6 jat6,sahp yaht,10th,,Cantonese::Date&Time
十一日,十一日,sap6 jat1 jat6,sahp yāt yaht,11th,,Cantonese::Date&Time
十二日,十二日,sap6 ji6 jat6,sahp yih yaht,12th,,Cantonese::Date&Time
十三日,十三日,sap6 saam1 jat6,sahp sāam yaht,13th,,Cantonese::Date&Time
十四日,十四日,sap6 sei3 jat6,sahp sei yaht,14th,,Cantonese::Date&Time
十五日,十五日,sap6 ng5 jat6,sahp ngh yaht,15th,,Cantonese::Date&Time
十六日,十六日,sap6 luk6 jat6,sahp luhk yaht,16th,,Cantonese::Date&Time
十七日,十七日,sap6 cat1 jat6,sahp chāt yaht,17th,,Cantonese::Date&Time
十八日,十八日,sap6 baat3 jat6,sahp baat yaht,18th,,Cantonese::Date&Time
十九日,十九日,sap6 gau2 jat6,sahp gáu yaht,19th,,Cantonese::Date&Time
二十日,二十日,ji6 sap6 jat6,yih sahp yaht,20th,,Cantonese::Date&Time
二十一日,二十一日,ji6 sap6 jat1 jat6,yih sahp yāt yaht,21st,,Cantonese::Date&Time
二十二日,二十二日,ji6 sap6 ji6 jat6,yih sahp yih yaht,22nd,,Cantonese::Date&Time
二十三日,二十三日,ji6 sap6 saam1 jat6,yih sahp sāam yaht,23rd,,Cantonese::Date&Time
二十四日,二十四日,ji6 sap6 sei3 jat6,yih sahp sei yaht,24th,,Cantonese::Date&Time
二十五日,二十五日,ji6 sap6 ng5 jat6,yih sahp ngh yaht,25th,,Cantonese::Date&Time
二十六日,二十六日,ji6 sap6 luk6 jat6,yih sahp luhk yaht,26th,,Cantonese::Date&Time
二十七日,二十七日,ji6 sap6 cat1 jat6,yih sahp chāt yaht,27th,,Cantonese::Date&Time
二十八日,二十八日,ji6 sap6 baat3 jat6,yih sahp baat yaht,28th,,Cantonese::Date&Time
二十九日,二十九日,ji6 sap6 gau2 jat6,yih sahp gáu yaht,29th,,Cantonese::Date&Time
三十日,三十日,saam1 sap6 jat6,sāam sahp yaht,30th,,Cantonese::Date&Time
三十一日,三十一日,saam1 sap6 jat1 jat6,sāam sahp yāt yaht,31st,,Cantonese::Date&Time
星期日,星期日,sing1 kei4 jat6,sīng kèih yaht,Sunday,,Cantonese::Date&Time
星期一,星期一,sing1 kei4 jat1,sīng kèih yāt,Monday,,Cantonese::Date&Time
星期二,星期二,sing1 kei4 ji6,sīng kèih yih,Tuesday,,Cantonese::Date&Time
星期三,星期三,sing1 kei4 saam1,sīng kèih sāam,Wednesday,,Cantonese::Date&Time
星期四,星期四,sing1 kei4 sei3,sīng kèih sei,Thursday,,Cantonese::Date&Time
星期五,星期五,sing1 kei4 ng5,sīng kèih ngh,Friday,,Cantonese::Date&Time
星期六,星期六,sing1 kei4 luk6,sīng kèih luhk,Saturday,,Cantonese::Date&Time
一點,一点,jat1 dim2,yāt dím,1 o'clock,,Cantonese::Date&Time
兩點,两点,loeng5 dim2,léungh dím,2 o'clock,,Cantonese::Date&Time
三點,三点,saam1 dim2,sāam dím,3 o'clock,,Cantonese::Date&Time
四點,四点,sei3 dim2,sei dím,4 o’clock,,Cantonese::Date&Time
五點,五点,ng5 dim2,ngh dím,5 o’clock,,Cantonese::Date&Time
六點,六点,luk6 dim2,luhk dím,6 o’clock,,Cantonese::Date&Time
七點,七点,cat1 dim2,chāt dím,7 o’clock,,Cantonese::Date&Time
八點,八点,baat3 dim2,baat dím,8 o’clock,,Cantonese::Date&Time
九點,九点,gau2 dim2,gáu dím,9 o'clock,,Cantonese::Date&Time
十點,十点,sap6 dim2,sahp dím,10 o'clock,,Cantonese::Date&Time
十一點,十一点,sap6 jat1 dim2,sahp yāt dím,11 o'clock,,Cantonese::Date&Time
十二點,十二点,sap6 ji6 dim2,sahp yih dím,12 o'clock,,Cantonese::Date&Time
一點零五分,一点零五分,jat1 dim2 ling4 ng5 fan1,yāt dím lìngh ngh fān,1:05,,Cantonese::Date&Time
四點二十八分,四点二十八分,sei3 dim2 ji6 sap6 baat3 fan1,sei dím yih sahp baat fān,4:28,,Cantonese::Date&Time
八點四十四分,八点四十四分,baat3 dim2 sei3 sap6 sei3 fan1,baat dím sei sahp sei fān,8:44,,Cantonese::Date&Time
十一點五十一分,十一点五十一分,sap6 jat1 dim2 ng5 sap6 jat1 fan1,sahp yāt dím ngh sahp yāt fān,11:51,,Cantonese::Date&Time
十二點五十九分,十二点五十九分,sap6 ji6 dim2 ng5 sap6 gau2 fan1,sahp yih dím ngh sahp gáu fān,12:59,,Cantonese::Date&Time
上晝,上昼,soeng6 zau3,seungh jau,a.m.,,Cantonese::Date&Time
下晝,下昼,ha6 zau3,hah jau,afternoon,,Cantonese::Date&Time
下晝,下昼,haa6 zau3,hah jau,p.m.,,Cantonese::Date&Time
晚,晚,maan5,máanh,evening,,Cantonese::Date&Time
白天,白天,baak6 tin1,baahk tīn,daytime,,Cantonese::Date&Time
每日,每日,mui5 yat6,múih yaht,every day,,Cantonese::Date&Time
平日,平日,ping4 jat6,pìngh yaht,Weekday,,Cantonese::Date&Time
日期,日期,jat6 kei4,yaht kèih,date,,Cantonese::Date&Time
而家幾點,而家几点,ji4 gaa1 gei2 dim2,yìh gā géi dím,What time is it now?,,
点,点,dim2,dím,"time, o'clock",,
咧,咧,le1,lē,interrogative particle,,
而家幾點？,而家几点？,ji4 gaa1 gei2 dim2 ?,yìh gā géi dím ?,What time is it now?,,
而家六點半,而家六点半,ji4 gaa1 luk6 dim2 bun3,yìh gā luhk dím bun,It's half past six,,
你幾點返屋企？,你几点返屋企？,nei5 gei2 dim2 faan1 uk1 kei2?,néih géi dím fāan ūk kéi?,What time do you go home?,,
我鍾意呢個城市，因為佢有好靚嘅建築物。,我钟意呢个城市，因为佢有好靓嘅建筑物。,ngo5 zung1 ji3 ni1 go3 sing4 si5，jan1 wai6 keoi5 jau5 hou2 leng3 ge3 gin3 zuk1 mat6。,ngóh jūng yi nī go sìhng síh，yān waih kéuih yáuh hóu leng ge gin jūk maht。,I like this city because it has beautiful buildings.,,
我唔鍾意呢個城市，因為年輕人少。,我唔钟意呢个城市，因为年轻人少。,ngo5 m4 zung1 ji3 ni1 go3 sing4 si5，jan1 wai6 nin4 hing1 jan4 siu2。,ngóh m̀h jūng yi nī go sìhng síh，yān waih nìhn hīng yàhn síu。,I don't like this city because there are few young people.,,
呢個係馬丁路德住嘅城市。,呢个系马丁路德住嘅城市。,ne1 go3 hai6 maa5 ding1 lou6 dak1 zyu6 ge3 sing4 si5 。,nē go haih máh dīng louh dāk jyuh ge sìngh síh,This is the city where Martin Luther lived.,,
呢個係一個好有歷史嘅城市。,呢个系一个好有历史嘅城市。,ni1 go3 hai6 jat1 go3 hou2 jau5 lik6 si2 ge3 sing4 si5。,nī go haih yāt go hóu yáuh lihk sí ge sìngh síh,This is a very historical city.,,
呢個城市係基督徒嘅旅遊地點。,呢个城市系基督徒嘅旅游地点。,ni1 go3 sing4 si5 hai6 gei1 duk1 tou4 ge3 leoi5 jau4 dei6 dim2。,nī go sìngh síh haih gēi dūk tòuh ge léuih yàuh deih dím,This city is a tourist destination for Christians.,,
我鍾意去柏林同美國朋友玩。,我钟意去柏林同美国朋友玩。,ngo5 zung1 ji3 heoi3 paak3 lam4 tung4 mei5 gwok3 pang4 jau5 waan2 。,ngóh jūng yi heui paak làmh tùngh méih gwok pàngh yáuh wáan,I like to visit to Berlin to play with American friends.,,
我每朝都會踩單車返工。,我每朝都会踩单车返工。,ngo5 mui5 ziu1 dou1 wui5 caai2 daan1 ce1 faan1 gung1。,ngóh múih jīu dōu wúih cháai dāan chē fāan gūng,Every morning I ride my bicycle to work.,,
我每日教三堂。,我每日教三堂。,ngo5 mui5 jat6 gaau3 saam1 tong4。,ngóh múih yaht gaau sāam tòngh,I teach three classes everyday.,,
雖然呢個城市細，但係去柏林嘅火車連接好好。,虽然呢个城市细，但系去柏林嘅火车连接好好。,seoi1 jin4 ni1 go3 sing4 si5 sai3，daan6 hai6 heoi3 paak3 lam4 ge3 fo2 ce1 lin4 zip3 hou2 hou2。,sēui yìhn nī go sìhng síh sai，daahn haih heui paak làhm ge fó chē lìhn jip hóu hóu。,"Although the city is small, the train connection to Berlin is good.",,
今年想去西班牙同瑞典旅行。,今年想去西班牙同瑞典旅行。,gam1 nin4 soeng2 heoi3 sai1 baan1 ngaa4 tung4 seoi6 din2 leoi5 hang4。,gām nình séung heui sāi bāan ngàh tùngh seuih dín léuih hàngh,This year I would like to travel to Spain and Sweden.,,
雖然柏林好醜，但係我喺嗰度有好多朋友。,虽然柏林好丑，但系我喺𠮶度有好多朋友。,seoi1 jin4 paak3 lam4 hou2 cau2，daan6 hai6 ngo5 hai2 go2 dou6 jau5 hou2 do1 pang4 jau5。,sēui yìhn paak làhm hóu cháu，daahn haih ngóh hái gó douh yáuh hóu dō pàhng yáuh。,"Although Berlin is ugly, I have many friends there.",,
最近，我都諗緊下年會點做。,最近，我都谂紧下年会点做。,zeoi3 gan6 ， ngo5 dou1 nam2 gan2 haa6 nin2 wui6 dim2 zou6 。,jeui ganh ngóh dōu nám gán hah nín wuih dím jouh,"Lately, I have been thinking about what I will do next year.",,
下年想去東亞讀書或者做嘢。,下年想去东亚读书或者做嘢。,haa6 nin2 soeng2 heoi3 dung1 ngaa3 duk6 syu1 waak6 ze2 zou6 je5。,hah nín séung heui dūng nga duhk syū waahk jé jouh yéh,Next year I would like to study or work in east asia.,,
我希望喺中國南方搵到機會。,我希望喺中国南方揾到机会。,ngo5 hei1 mong6 hai2 zung1 gwok3 naam4 fong1 wan2 dou2 gei1 wui6。,ngóh hēi mongh hái jūng gwok nàamh fōng wán dóu gēi wuih,I hope to find opportunities in southern China.,,
雖然德國嘢唔好食，但係有好多好味嘅越南餐廳。,虽然德国嘢唔好食，但系有好多好味嘅越南餐厅。,seoi1 jin4 dak1 gwok3 je5 m4 hou2 sik6，daan6 hai6 jau5 hou2 do1 hou2 mei6 ge3 jyut6 naam4 caan1 teng1。,sēui yìhn dāk gwok yéh m̀h hóu sihk，daahn haih yáuh hóu dō hóu meih ge yuht nàahm chāan tēng。,"Although German food is not delicious, there are many delicious Vietnamese restaurants.",,
