English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Totalitarianism,الشمولية,সর্বাত্মকতাবাদ,極權主義,تمامیت‌خواهی,totalitarisme,Totalitarismus,تمامیت خواهۍ,totalitarismo,totalitarismo,totalitarianismo,Totalitarizm,тоталітаризм,آمریت,noun,Totalitarianism suppresses dissent.,Absolute state control.,
Trade deficit,العجز التجاري,বাণিজ্য ঘাটতি,貿易逆差,کسری تجاری,déficit commercial,Handelsdefizit,تجاري خساره,déficit comercial,déficit comercial,upungufu wa biashara,ticaret açığı,торговий дефіцит,تجارتی خسارہ,noun,Trade deficit widened.,Imports exceed exports.,
Transient,عابر,ক্ষণস্থায়ী,短暫的,گذرا,transitoire,vorübergehend,لنډمهاله,transitório,transitorio,ya muda mfupi,geçici,тимчасовий,عارضی,adjective,The effect is transient.,Lasting only for a short time.,
Treaty,معاهدة,চুক্তি,條約,معاهده,traité,Vertrag,تړون,tratado,tratado,mkataba,antlaşma,договір,معاہدہ,noun,The treaty was signed.,Formal agreement.,
Treaty obligation,التزام المعاهدة,চুক্তির বাধ্যবাধকতা,條約義務,تعهدات معاهده,obligation de traité,Vertragspflicht,د تړون ژمنه,obrigação de tratado,obligación de tratado,wajibu wa mkataba,antlaşma yükümlülüğü,договірні зобов’язання,معاہدہ ذمہ داری,noun,Treaty obligations were enforced.,Legal international duty.,
Trepidation,خوف,আশঙ্কা,恐懼,دلهره,trepidation,Zittern,وېره,trepidação,trepidación,wasiwasi,korku,тривога,خوف,noun,She felt trepidation before the exam.,Fear or anxiety about something.,
Truculent,عدواني,আক্রমণাত্মক,好鬥,خشن,truculent,streitsüchtig,تند,truculento,truculento,ya fujo,kavgacı,войовничий,جھگڑالو,adjective,He gave a truculent reply.,Hostile.,
Truncate,يختصر,সংক্ষিপ্ত করা,截斷,کوتاه کردن,tronquer,kürzen,لنډول,truncar,truncar,kufupisha,kısaltmak,скорочувати,مختصر کرنا,verb,They truncated the report.,To shorten.,
Typing indicator,مؤشر الكتابة,টাইপিং সূচক,輸入中提示,نشانگر تایپ,indicateur de frappe,Schreibanzeige,د ټایپ نښه,indicador de digitação,indicador de escritura,kiashiria cha kuandika,yazıyor göstergesi,індикатор набору,ٹائپنگ اشارہ,noun,The typing indicator showed she was replying.,A visual sign showing someone is currently composing a message.,
Ubiquitous,منتشر,সর্বব্যাপী,無處不在,همه‌جا,u-biquitaire,allgegenwärtig,هر ځای,u-bíquo,ubícuo,ya kila mahali,her yerde bulunan,повсюдний,ہر جگہ,adjective,Phones are ubiquitous.,Everywhere.,
Uncanny,غريب,অদ্ভুত,離奇的,عجیب,étrange,unheimlich,عجیب,estranho,extraño,ya ajabu,tuhaf,зловісний,عجیب,adjective,He had an uncanny ability to predict events.,Strangely accurate or mysterious.,
Under the weather,يشعر بالمرض,অসুস্থ বোধ করা,身體不舒服,احساس بیماری داشتن,ne pas se sentir bien,angeschlagen sein,ناروغ احساس کول,não se sentir bem,sentirse mal,kujisikia mgonjwa,keyifsiz olmak,погано почуватися,طبیعت خراب ہونا,idiom,She stayed home because she was feeling under the weather.,To feel slightly sick or unwell.,
Unfollow,إلغاء المتابعة,আনফলো করা,取消追蹤,لغو دنبال کردن,se désabonner,entfolgen,تعقيب ختمول,deixar de seguir,dejar de seguir,acha kufuata,takibi bırakmak,відписатися,انفالو کرنا,verb,I unfollowed several inactive accounts yesterday.,To stop subscribing to another user’s online updates.,
Unilateral,أحادي الجانب,একতরফা,單邊,یک‌جانبه,unilatéral,einseitig,یو اړخیز,unilateral,unilateral,upande mmoja,tek taraflı,односторонній,یک طرفہ,adjective,A unilateral decision was made.,One-sided action.,
Unipolarity,أحادية القطبية,একমেরু বিশ্ব,單極化,تک‌قطبی,unipolarité,Unipolarität,یوه قطبي نظام,unipolaridade,unipolaridad,ulimwengu wa nguvu moja,tek kutupluluk,однополярність,یک قطبی نظام,noun,Unipolarity defined the era.,Single dominant power system.,
Up in the air,غير محسوم,এখনও অনিশ্চিত,尚未決定,نامشخص,en suspens,in der Schwebe,نامعلوم,no ar,en el aire,bado haijulikani,havada,невизначений,غیر یقینی,idiom,Our vacation plans are still up in the air.,Not yet decided or finalized.,
Usurp,يغتصب,দখল করা,篡奪,غصب کردن,usurper,usurpieren,غصب کول,usurpar,usurpar,kunyakua,gasp etmek,узурпувати,چھین لینا,verb,He usurped power.,To take unlawfully.,
Vacillate,يتردد,দোদুল্যমান হওয়া,搖擺,تردید کردن,vaciller,schwanken,ترديد,vacilar,vacilar,kusita,dalgalanmak,вагатися,متذبذب ہونا,verb,He vacillated before deciding.,To waver.,
Venerate,يبجل,শ্রদ্ধা করা,崇敬,ستایش کردن,vénérer,verehren,درناوی کول,venerar,venerar,kuheshimu çok saygı göstermek,шанувати,عظمت دینا,verb,Many cultures venerate their ancestors through ceremonies.,To regard with deep respect or reverence.,,
Verbose,مطول,বাগাড়ম্বরপূর্ণ,冗長,پرحرف,verbeux,umständlich,ډېر اوږد,verboso,verboso,msemaji kupita kiasi,uzun konuşan,багатослівний,طویل,,adjective,His writing is verbose.,
Veto,حق النقض,ভেটো,否決權,وتو,veto,Veto,ویټو,veto,veto,marufuku,veto,вето,ویٹو,noun,The veto blocked law.,Power to reject.,
Vindicate,يدافع,নির্দোষ প্রমাণ করা,證明無罪,تبرئه کردن,justifier,rechtfertigen,بې ګناه ثابتول,vindicar,vindicar,kutetea,savunmak,виправдовувати,بری کرنا,verb,The evidence vindicated her.,To clear from blame or prove right.,
Vindictive,انتقامي,প্রতিশোধপরায়ণ,報復心強,انتقام‌جو,vindicatif,rachsüchtig,انتقامي,vindicativo,vengativo,ya kisasi,intikamcı,помстивий,انتقامی,adjective,A vindictive act followed.,Desire for revenge.,
Viral,منتشر بسرعة,দ্রুত ছড়িয়ে পড়া,爆紅的,ویروسی,viral,viral,ژر خپرېدونکی,viral,viral,inayosambaa بسرعة,viral,вірусний,وائرل,adjective,The video went viral overnight.,Spreading rapidly across the internet through sharing.,
Vociferous,صاخب,উচ্চকণ্ঠ,大聲叫喊的,پر سر و صدا,vociférant,lautstark,په لوړ غږ,vociferante,vociferante,mwenye kelele,gürültülü,галасливий,شور مچانے والا,adjective,Vociferous protesters gathered outside the courthouse.,Expressing opinions loudly and forcefully.,
Voicemail,البريد الصوتي,ভয়েসমেইল,語音信箱,پست صوتی,messagerie vocale,Voicemail,غږيز پيغام,correio de voz,correo de voz,ujumbe wa sauti,sesli mesaj,голосова пошта,وائس میل,noun,I left a voicemail after nobody answered the call.,A recorded voice message left for someone by telephone.,
Volatile,متقلب,অস্থির,不穩定,نوسانی,volatile,volatil,بې ثباته,volátil,volátil,ya kubadilika,oynak,леткий,غیر مستحکم,adjective,The market is volatile.,Unstable or unpredictable.,
Voltage,الجهد الكهربائي,ভোল্টেজ,電壓,ولتاژ,tension électrique,Spannung,برقي فشار,voltagem,voltaje,volteji,voltaj,напруга,وولٹیج,noun,High voltage equipment requires special safety measures.,The electrical force that drives current through a circuit.,
Voracious,شره,লোভী,貪婪的,حریص,vorace,gefräßig,حریص,voraz,voraz,mwenye tamaa,kurt,ненаситний,بہت لالچی,adjective,A voracious reader finishes books quickly.,Excessively eager or consuming.,
Wane,يتضاءل,কমে যাওয়া,衰退,کاهش یافتن,diminuer,abnehmen,کمېدل,desvanecer,desvanecer,kupungua,azalmak,зменшуватися,کم ہونا,verb,His influence waned.,To decrease.,
Wary,حذر,সতর্ক,謹慎,هشدار,wachsam,vorsichtig,احتیاط,wary,cauto,makini,tedbirli,обережний,محتاط,adjective,Be wary of scams.,Cautious.,
Wealth inequality,عدم المساواة في الثروة,সম্পদ বৈষম্য,財富不平等,نابرابری ثروت,inégalité des richesses,Vermögensungleichheit,د شتمنۍ نابرابري,desigualdade de riqueza,desigualdad de riqueza,usawa wa mali,servet eşitsizliği,нерівність багатства,دولت کی عدم مساوات,noun,Wealth inequality increased.,Unequal distribution of wealth.,
Welfare state,دولة الرفاهية,কল্যাণ রাষ্ট্র,福利國家,دولت رفاه,État-providence,Sozialstaat,د رفاه دولت,estado de bem-estar,estado de bienestar,ustawi wa jamii,Sozialstaat,держава добробуту,فلاحی ریاست,noun,Welfare state expanded services.,Government social support system.,
Whimsical,غريب الأطوار,খামখেয়ালি,異想天開的,خیال‌انگیز,fantaisiste,verspielt,خیالي,caprichoso,caprichoso,wa kuchekesha,garip eğlenceli,химерний,خیالی مزاج,adjective,The café featured whimsical decorations and colorful furniture.,Playfully unusual or imaginative.,
Windfall,مكسب مفاجئ,অপ্রত্যাশিত লাভ,意外之財,سود ناگهانی,aubaine,Glücksfall,ناڅاپي ګټه,ganho inesperado,ganancia inesperada,faida la ghafla,beklenmedik kazanç,неочікуваний прибуток,اچانک منافع,noun,She used the tax refund as a financial windfall.,An unexpected amount of money or good fortune.,
Winsome,جذاب,মুগ্ধকর,迷人的,دلنشین,séduisant,gewinnend,خوږ,winsome,encantador,ya kupendeza,çekici,чарівний,دلکش,adjective,Her winsome smile charmed everyone.,Attractive in a charming way.,
Wistful,حزين بتأمل,আবেগময় বিষণ্ণ,若有所思而憂傷的,غمگین و نوستالژیک,mélancolique,wehmütig,خفه غمجن,saudoso,melancólico,wenye huzuni ya kumbukumbu,dalgın hüzünlü,замріяний,حسرت بھرا,adjective,He gave a wistful smile while looking through old photographs.,Having a feeling of vague sadness or longing.,
Wrap up,ينهي,শেষ করা,完成,جمع‌بندی کردن,conclure,abschließen,ختمول,encerrar,concluir,kumalizia,toparlamak,підсумувати,ختم کرنا,phrasal verb,Let’s wrap up the meeting before lunch.,To finish or complete something.,
Wrap your head around,يفهم بصعوبة,বুঝে ওঠা,理解,درک کردن,comprendre,begreifen,پوهېدل,entender,comprender,kuelewa,kafasında oturtmak,усвідомити,سمجھ پانا,idiom,It took me hours to wrap my head around the instructions.,To successfully understand something difficult or complex.,
Yearn,يتوق,আকুলভাবে কামনা করা,渴望,آرزو داشتن,aspirer,sich sehnen,ارمان کول,ansiar,anhelar,kutamani,hasret çekmek,прагнути,ترسنا,verb,Many people yearn for a better work-life balance.,To strongly desire or long for something.,
Zealot,متعصب,উগ্র সমর্থক,狂熱者,متعصب,zélote,Fanatiker,متعصب,zelota,zelote,mfana kubwa,aşırı taraftar,фанатик,شدید حامی,noun,He was a political zealot.,Extremely passionate supporter.,
Zone of influence,منطقة نفوذ,প্রভাব অঞ্চল,勢力範圍,حوزه نفوذ,zone d’influence,Einflusssphäre,د نفوذ ساحه,zona de influência,zona de influencia,eneo la ushawishi,etki alanı,сфера впливу,اثر کا علاقہ,noun,Each power had a zone of influence.,Controlled geopolitical region.,
